epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6323,1.68155,2.35014,1.66694,0.71489,0.5207,0.59375,0.30394,1.77312,1.69457,1.59202,0.000328889,0.000328889,0.000328889
2,90.0001,1.27658,1.11303,1.32886,0.518,0.5793,0.48501,0.25856,1.69942,2.11393,1.60897,0.000658944,0.000658944,0.000658944
3,126.43,1.18181,0.93902,1.2621,0.68873,0.55392,0.64189,0.32338,1.76768,2.29864,1.65425,0.0009857,0.0009857,0.0009857
4,162.789,1.12667,0.86055,1.23743,0.68408,0.62178,0.64407,0.36966,1.60472,1.91873,1.55555,0.00098515,0.00098515,0.00098515
5,199.11,1.07345,0.7717,1.20174,0.7387,0.6355,0.69798,0.37343,1.65416,1.62067,1.53941,0.0009802,0.0009802,0.0009802
6,235.547,1.02367,0.71594,1.16635,0.79831,0.58978,0.72014,0.4215,1.53912,1.59097,1.43254,0.00097525,0.00097525,0.00097525
7,271.75,0.97612,0.68729,1.14402,0.78727,0.67981,0.73141,0.43355,1.54258,1.34142,1.45686,0.0009703,0.0009703,0.0009703
8,307.992,0.93225,0.63995,1.12394,0.78384,0.70402,0.7382,0.34416,2.01647,1.33742,1.78276,0.00096535,0.00096535,0.00096535
9,344.072,0.8901,0.59972,1.09977,0.83244,0.73385,0.78782,0.44893,1.60491,1.18322,1.45383,0.0009604,0.0009604,0.0009604
10,380.403,0.86197,0.58511,1.07682,0.80776,0.6467,0.73088,0.42859,1.52489,1.35618,1.43356,0.00095545,0.00095545,0.00095545
11,416.794,0.85069,0.56161,1.07164,0.83135,0.72273,0.77329,0.48566,1.40861,1.19772,1.33777,0.0009505,0.0009505,0.0009505
12,452.927,0.78359,0.52926,1.04099,0.86246,0.74279,0.80464,0.51066,1.41186,1.07211,1.37586,0.00094555,0.00094555,0.00094555
13,489.085,0.77347,0.51667,1.03423,0.84297,0.73317,0.78774,0.48065,1.47973,1.20496,1.40399,0.0009406,0.0009406,0.0009406
14,525.175,0.78498,0.51368,1.04019,0.83215,0.72829,0.79312,0.52372,1.33021,1.10066,1.31725,0.00093565,0.00093565,0.00093565
15,561.282,0.74931,0.49342,1.02114,0.89412,0.73255,0.83421,0.52692,1.41292,1.02756,1.34193,0.0009307,0.0009307,0.0009307
16,597.351,0.72721,0.47629,1.00985,0.84037,0.76013,0.81318,0.53745,1.33684,1.0856,1.30223,0.00092575,0.00092575,0.00092575
17,633.613,0.73401,0.47253,1.00547,0.78077,0.55841,0.62555,0.38457,1.74932,1.77605,1.52831,0.0009208,0.0009208,0.0009208
18,669.638,0.68275,0.45274,0.99783,0.87154,0.73383,0.82195,0.57,1.26337,1.04422,1.27982,0.00091585,0.00091585,0.00091585
19,705.827,0.68529,0.45135,0.98643,0.84383,0.63843,0.74639,0.51016,1.37344,1.32797,1.35581,0.0009109,0.0009109,0.0009109
20,742.276,0.681,0.43935,0.98534,0.8128,0.63799,0.70414,0.45979,1.49427,1.28606,1.44817,0.00090595,0.00090595,0.00090595
21,778.252,0.67542,0.43588,0.98068,0.84059,0.68756,0.77186,0.52921,1.3466,1.21476,1.40484,0.000901,0.000901,0.000901
22,814.312,0.65377,0.4249,0.9771,0.86485,0.73992,0.80901,0.5635,1.29281,1.13968,1.31007,0.00089605,0.00089605,0.00089605
23,850.384,0.63815,0.41634,0.96939,0.8871,0.71872,0.81429,0.5719,1.27181,1.18118,1.30898,0.0008911,0.0008911,0.0008911
24,886.467,0.60885,0.39962,0.95183,0.86,0.70726,0.7945,0.54782,1.30102,1.15311,1.31861,0.00088615,0.00088615,0.00088615
25,922.444,0.60867,0.39855,0.9572,0.8718,0.73576,0.81835,0.5816,1.22824,1.05256,1.28441,0.0008812,0.0008812,0.0008812
26,958.526,0.61011,0.39774,0.95321,0.86043,0.7456,0.81146,0.55823,1.27627,1.04565,1.31685,0.00087625,0.00087625,0.00087625
27,994.861,0.60589,0.39389,0.95496,0.87616,0.71473,0.7612,0.5229,1.27846,1.28787,1.29497,0.0008713,0.0008713,0.0008713
28,1030.88,0.58765,0.3801,0.94379,0.8473,0.73398,0.80451,0.57235,1.25679,1.11084,1.28762,0.00086635,0.00086635,0.00086635
29,1066.84,0.57751,0.37899,0.94602,0.86513,0.72718,0.80792,0.57607,1.22182,1.16399,1.26325,0.0008614,0.0008614,0.0008614
30,1102.92,0.56499,0.3722,0.94055,0.86085,0.74418,0.81897,0.58093,1.23913,1.0595,1.28599,0.00085645,0.00085645,0.00085645
31,51.9347,0.61818,0.49044,0.97976,0.85205,0.71294,0.77975,0.53481,1.27623,1.121,1.30966,0.0008515,0.0008515,0.0008515
32,87.5493,0.56384,0.39456,0.93788,0.85333,0.74156,0.8165,0.5709,1.2506,1.1195,1.31145,0.00084655,0.00084655,0.00084655
33,123.263,0.55956,0.3742,0.93431,0.86695,0.74919,0.81932,0.55517,1.36054,1.15417,1.36694,0.0008416,0.0008416,0.0008416
34,159.004,0.53436,0.35345,0.92681,0.85012,0.74196,0.81684,0.5826,1.22465,1.02535,1.30291,0.00083665,0.00083665,0.00083665
35,194.768,0.54316,0.35616,0.92816,0.88208,0.7299,0.82028,0.59632,1.21495,1.09224,1.29511,0.0008317,0.0008317,0.0008317
36,230.626,0.5375,0.35224,0.92282,0.86803,0.73662,0.82359,0.58802,1.22193,1.12281,1.30508,0.00082675,0.00082675,0.00082675
37,266.537,0.51899,0.34124,0.92035,0.84159,0.76046,0.81403,0.55559,1.33763,1.08344,1.35441,0.0008218,0.0008218,0.0008218
38,302.409,0.5108,0.33845,0.9163,0.87071,0.75276,0.8306,0.59769,1.20729,1.02994,1.30519,0.00081685,0.00081685,0.00081685
39,338.345,0.50528,0.33462,0.91366,0.85292,0.75565,0.82257,0.59559,1.21158,1.06446,1.30394,0.0008119,0.0008119,0.0008119
40,374.204,0.50936,0.33733,0.91399,0.86394,0.755,0.82619,0.5816,1.25791,1.17,1.33636,0.00080695,0.00080695,0.00080695
41,410.005,0.50268,0.32834,0.90885,0.84911,0.76041,0.82833,0.59957,1.20885,1.0516,1.31163,0.000802,0.000802,0.000802
42,445.926,0.47861,0.3161,0.902,0.8672,0.75727,0.83339,0.604,1.20472,1.04554,1.2907,0.00079705,0.00079705,0.00079705
43,481.781,0.47247,0.31017,0.89977,0.89122,0.7695,0.85074,0.60377,1.25737,0.99154,1.29458,0.0007921,0.0007921,0.0007921
44,517.511,0.47307,0.31504,0.89788,0.86003,0.75831,0.8401,0.61285,1.23843,1.19861,1.31902,0.00078715,0.00078715,0.00078715
45,553.311,0.46683,0.31335,0.89808,0.87601,0.75754,0.82959,0.59385,1.24335,1.08312,1.32852,0.0007822,0.0007822,0.0007822
46,589.025,0.46906,0.31232,0.90027,0.87303,0.78416,0.84549,0.60224,1.28668,1.09683,1.3254,0.00077725,0.00077725,0.00077725
47,624.748,0.47218,0.30879,0.89642,0.87477,0.7688,0.83797,0.61731,1.16445,1.05578,1.28251,0.0007723,0.0007723,0.0007723
48,660.64,0.44554,0.30056,0.89396,0.86243,0.75279,0.84486,0.61424,1.19047,1.05269,1.31169,0.00076735,0.00076735,0.00076735
49,696.439,0.4488,0.29587,0.88585,0.89253,0.75541,0.84545,0.62547,1.17038,1.0651,1.28517,0.0007624,0.0007624,0.0007624
50,732.259,0.44571,0.29429,0.8847,0.88765,0.77166,0.84999,0.62203,1.19163,1.01144,1.29923,0.00075745,0.00075745,0.00075745
51,768.022,0.44657,0.29269,0.88561,0.8564,0.77705,0.84386,0.62277,1.18289,1.09333,1.31981,0.0007525,0.0007525,0.0007525
52,803.757,0.44597,0.28987,0.88821,0.87427,0.75713,0.84417,0.63548,1.15001,1.06017,1.28719,0.00074755,0.00074755,0.00074755
53,839.531,0.43376,0.28415,0.88426,0.88319,0.75772,0.85312,0.62921,1.17623,1.06909,1.29216,0.0007426,0.0007426,0.0007426
54,875.256,0.42395,0.28011,0.87574,0.85532,0.72868,0.8145,0.61022,1.16833,1.20393,1.29553,0.00073765,0.00073765,0.00073765
55,910.99,0.43139,0.28529,0.88398,0.87458,0.75104,0.83645,0.61201,1.20729,1.09149,1.30943,0.0007327,0.0007327,0.0007327
56,946.771,0.41975,0.27841,0.87805,0.86611,0.7696,0.8421,0.62996,1.17421,1.07896,1.29189,0.00072775,0.00072775,0.00072775
57,982.462,0.43372,0.28513,0.88462,0.88992,0.75499,0.84634,0.6322,1.15391,1.01709,1.28839,0.0007228,0.0007228,0.0007228
58,1018.18,0.41397,0.2743,0.87511,0.87713,0.76288,0.84561,0.63833,1.1526,1.06617,1.28117,0.00071785,0.00071785,0.00071785
59,1054.13,0.40347,0.27153,0.87471,0.8747,0.77292,0.85064,0.62568,1.1815,1.05189,1.30259,0.0007129,0.0007129,0.0007129
60,1090,0.41052,0.27454,0.87674,0.87277,0.7621,0.83508,0.62943,1.15174,1.12093,1.27348,0.00070795,0.00070795,0.00070795
61,1125.8,0.42348,0.28338,0.87744,0.85228,0.75923,0.83078,0.61008,1.19963,1.09612,1.29779,0.000703,0.000703,0.000703
62,1161.67,0.44198,0.29114,0.88494,0.87562,0.75839,0.83955,0.62684,1.15353,1.06483,1.27505,0.00069805,0.00069805,0.00069805
63,1197.48,0.41557,0.27382,0.87454,0.86417,0.75631,0.84516,0.62437,1.17272,1.03748,1.28284,0.0006931,0.0006931,0.0006931
64,1233.33,0.41258,0.27609,0.87612,0.88504,0.75564,0.83019,0.61638,1.18663,1.07555,1.28386,0.00068815,0.00068815,0.00068815
65,1269.1,0.41431,0.27565,0.87778,0.8715,0.72535,0.81766,0.61881,1.16104,1.07796,1.27654,0.0006832,0.0006832,0.0006832
66,1304.91,0.40271,0.26941,0.87284,0.91344,0.75161,0.85619,0.64387,1.15328,1.02555,1.29349,0.00067825,0.00067825,0.00067825
67,1340.71,0.40684,0.27104,0.87058,0.87326,0.76255,0.83588,0.63436,1.14524,1.07209,1.28658,0.0006733,0.0006733,0.0006733
