epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46564,2.08235,3.77422,1.80967,0.73455,0.04315,0.22101,0.13485,1.60885,3.12966,1.33806,0.000328358,0.000328358,0.000328358
2,15.4395,1.8246,2.76422,1.58499,0.4794,0.32207,0.33451,0.18071,1.58876,2.38671,1.50835,0.00064859,0.00064859,0.00064859
3,22.4429,1.73446,2.34381,1.55128,0.47817,0.43438,0.41576,0.23951,1.53895,2.13511,1.4552,0.000955622,0.000955622,0.000955622
4,29.6737,1.69248,2.13761,1.4953,0.59324,0.50604,0.55463,0.32423,1.57754,1.77506,1.44847,0.0009406,0.0009406,0.0009406
5,36.9005,1.61528,1.93505,1.4536,0.72791,0.53028,0.59811,0.36493,1.49847,1.69361,1.39078,0.0009208,0.0009208,0.0009208
6,44.1096,1.54526,1.76785,1.39476,0.54073,0.62475,0.56823,0.3473,1.49681,1.84965,1.41666,0.000901,0.000901,0.000901
7,51.3316,1.50434,1.67386,1.37631,0.67976,0.69378,0.72236,0.43349,1.42655,1.35427,1.32227,0.0008812,0.0008812,0.0008812
8,58.5374,1.48549,1.58321,1.34512,0.7754,0.69511,0.74487,0.48766,1.31597,1.19278,1.25947,0.0008614,0.0008614,0.0008614
9,65.7768,1.45416,1.50719,1.33138,0.83139,0.63075,0.73503,0.48445,1.32714,1.23286,1.25622,0.0008416,0.0008416,0.0008416
10,73.0083,1.39393,1.39169,1.28428,0.83094,0.69377,0.80276,0.53283,1.2751,1.15315,1.21318,0.0008218,0.0008218,0.0008218
11,80.2248,1.41852,1.38892,1.30406,0.85471,0.71009,0.81018,0.52184,1.30483,1.08128,1.255,0.000802,0.000802,0.000802
12,87.6505,1.37123,1.33458,1.2777,0.78699,0.75071,0.81392,0.52115,1.32579,1.11711,1.25256,0.0007822,0.0007822,0.0007822
13,95.3588,1.36909,1.28529,1.27219,0.81346,0.71435,0.80281,0.52371,1.32786,1.09479,1.24533,0.0007624,0.0007624,0.0007624
