epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,14.9102,0.91067,0.6012,1.01868,0.8618,0.85496,0.88674,0.63418,1.09898,0.70524,1.14926,0.000505,0.000505,0.000505
52,29.6415,0.88716,0.57866,1.00835,0.85886,0.85159,0.88879,0.63811,1.08553,0.68703,1.11583,0.0004951,0.0004951,0.0004951
53,44.2358,0.87871,0.57606,1.0076,0.91039,0.8651,0.90986,0.64149,1.07766,0.64169,1.11192,0.0004852,0.0004852,0.0004852
54,59.0493,0.87913,0.55867,1.00068,0.88809,0.84261,0.8909,0.65864,1.02981,0.65719,1.0895,0.0004753,0.0004753,0.0004753
55,74.1727,0.85972,0.55595,1.00293,0.90474,0.81848,0.88897,0.66514,1.0249,0.64095,1.07798,0.0004654,0.0004654,0.0004654
56,88.8421,0.85186,0.55499,0.9953,0.91102,0.83955,0.90901,0.66556,1.02855,0.62209,1.08847,0.0004555,0.0004555,0.0004555
57,103.953,0.85051,0.55041,0.99797,0.89805,0.85813,0.9202,0.66426,1.02675,0.60183,1.0994,0.0004456,0.0004456,0.0004456
58,120.057,0.84783,0.54104,0.9903,0.8699,0.87534,0.91252,0.66266,1.03169,0.625,1.1084,0.0004357,0.0004357,0.0004357
59,135.217,0.83756,0.5363,0.9883,0.89894,0.83084,0.91256,0.66274,1.05054,0.64392,1.10258,0.0004258,0.0004258,0.0004258
60,150.501,0.81232,0.52158,0.97692,0.88822,0.83066,0.89608,0.65311,1.02783,0.62044,1.10021,0.0004159,0.0004159,0.0004159
61,165.45,0.82341,0.52382,0.98872,0.84301,0.87048,0.90331,0.6482,1.03735,0.63193,1.10905,0.000406,0.000406,0.000406
62,180.157,0.81706,0.52418,0.98606,0.89772,0.83731,0.90287,0.66872,1.02864,0.63278,1.12272,0.0003961,0.0003961,0.0003961
63,194.967,0.80826,0.51624,0.97635,0.85243,0.88018,0.89809,0.65686,1.0126,0.61643,1.0822,0.0003862,0.0003862,0.0003862
64,209.68,0.80926,0.51268,0.98111,0.90419,0.86203,0.89882,0.65916,1.04387,0.64846,1.10794,0.0003763,0.0003763,0.0003763
65,224.41,0.79122,0.50586,0.97629,0.91091,0.84361,0.90473,0.66869,1.03371,0.59956,1.08829,0.0003664,0.0003664,0.0003664
