epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7392,1.94878,3.71328,1.7707,0.81444,0.10251,0.17771,0.07899,1.93853,3.30424,1.45206,0.000328889,0.000328889,0.000328889
2,44.1563,1.57965,2.29279,1.42223,0.54257,0.46153,0.43712,0.21264,1.8213,2.23337,1.41872,0.000658944,0.000658944,0.000658944
3,55.5266,1.37718,1.57463,1.28632,0.63637,0.55779,0.5772,0.2257,2.11008,1.84546,1.57525,0.0009857,0.0009857,0.0009857
4,66.912,1.25838,1.30999,1.21897,0.68244,0.5715,0.62455,0.35346,1.63601,1.67552,1.34243,0.00098515,0.00098515,0.00098515
5,78.1983,1.17215,1.13226,1.17438,0.71666,0.57903,0.6592,0.38448,1.53529,1.62116,1.28241,0.0009802,0.0009802,0.0009802
6,89.4439,1.11078,1.01615,1.13125,0.75174,0.59332,0.68545,0.41511,1.50187,1.50704,1.27533,0.00097525,0.00097525,0.00097525
7,100.492,1.04881,0.93986,1.0958,0.70221,0.62364,0.68008,0.41648,1.46642,1.59628,1.24401,0.0009703,0.0009703,0.0009703
8,111.417,1.0102,0.88022,1.08374,0.78765,0.66692,0.72912,0.41227,1.5227,1.31272,1.26009,0.00096535,0.00096535,0.00096535
9,122.426,0.99203,0.83888,1.07715,0.79554,0.67825,0.74021,0.44173,1.53525,1.35083,1.2686,0.0009604,0.0009604,0.0009604
10,133.262,0.97914,0.80403,1.06721,0.83981,0.66805,0.75208,0.38761,1.67279,1.36107,1.32839,0.00095545,0.00095545,0.00095545
11,144.001,0.92419,0.75221,1.03785,0.83275,0.67051,0.75803,0.46311,1.46442,1.2993,1.24088,0.0009505,0.0009505,0.0009505
12,154.913,0.87627,0.71098,1.02352,0.79688,0.64039,0.72672,0.45623,1.45594,1.3516,1.29051,0.00094555,0.00094555,0.00094555
13,165.6,0.89608,0.7075,1.02445,0.83233,0.66563,0.75023,0.4634,1.51767,1.30494,1.27943,0.0009406,0.0009406,0.0009406
14,176.321,0.8777,0.68536,1.01717,0.85448,0.69095,0.76479,0.49228,1.38769,1.2535,1.21223,0.00093565,0.00093565,0.00093565
15,187.091,0.85164,0.65281,1.00327,0.83067,0.69728,0.77451,0.49122,1.39617,1.2114,1.21847,0.0009307,0.0009307,0.0009307
16,197.791,0.82349,0.62657,0.99085,0.83493,0.71965,0.78303,0.49734,1.35948,1.07643,1.20768,0.00092575,0.00092575,0.00092575
17,208.544,0.84027,0.6262,0.99953,0.82971,0.68152,0.75448,0.49048,1.34338,1.22945,1.17628,0.0009208,0.0009208,0.0009208
18,219.115,0.78894,0.59703,0.98459,0.83383,0.69985,0.78,0.50596,1.3515,1.17776,1.1907,0.00091585,0.00091585,0.00091585
19,229.87,0.78422,0.57736,0.97172,0.82717,0.68896,0.75827,0.50152,1.35638,1.21299,1.22531,0.0009109,0.0009109,0.0009109
20,240.72,0.78005,0.57693,0.97283,0.80796,0.68047,0.74444,0.48436,1.40755,1.23632,1.24689,0.00090595,0.00090595,0.00090595
21,251.396,0.78065,0.56447,0.97368,0.8186,0.6225,0.72381,0.44878,1.54382,1.31794,1.28032,0.000901,0.000901,0.000901
22,261.953,0.74848,0.54659,0.96647,0.79661,0.72611,0.77202,0.50042,1.35831,1.15688,1.2195,0.00089605,0.00089605,0.00089605
23,272.555,0.76113,0.5457,0.96437,0.83618,0.66734,0.74708,0.49118,1.37914,1.23864,1.20399,0.0008911,0.0008911,0.0008911
24,283.343,0.74794,0.5271,0.95471,0.82352,0.70243,0.77445,0.50819,1.33541,1.14476,1.19887,0.00088615,0.00088615,0.00088615
25,293.885,0.74226,0.5248,0.9612,0.84001,0.69969,0.78445,0.53317,1.29148,1.17767,1.15906,0.0008812,0.0008812,0.0008812
26,304.496,0.7262,0.50922,0.95195,0.84247,0.71037,0.78069,0.52405,1.28987,1.06281,1.18399,0.00087625,0.00087625,0.00087625
27,315.163,0.72719,0.50556,0.95157,0.82769,0.69215,0.75829,0.5056,1.33082,1.18597,1.18822,0.0008713,0.0008713,0.0008713
28,325.729,0.69958,0.49147,0.94466,0.85648,0.71961,0.7819,0.5159,1.32583,1.11829,1.20801,0.00086635,0.00086635,0.00086635
29,336.328,0.69668,0.49394,0.94638,0.83807,0.74238,0.79875,0.5298,1.29723,1.04218,1.19398,0.0008614,0.0008614,0.0008614
30,347.086,0.68511,0.48475,0.94078,0.83234,0.71608,0.77094,0.51777,1.30523,1.11698,1.18692,0.00085645,0.00085645,0.00085645
31,357.761,0.68804,0.48498,0.93964,0.82943,0.68618,0.75555,0.50467,1.32223,1.21733,1.19171,0.0008515,0.0008515,0.0008515
32,368.361,0.69059,0.47511,0.93906,0.84378,0.69857,0.77525,0.51773,1.34125,1.10059,1.21199,0.00084655,0.00084655,0.00084655
33,379.064,0.65416,0.45509,0.92492,0.84613,0.70781,0.77338,0.52124,1.30981,1.17289,1.18433,0.0008416,0.0008416,0.0008416
34,389.616,0.66999,0.46812,0.93483,0.84148,0.69944,0.77701,0.52342,1.28171,1.08716,1.19571,0.00083665,0.00083665,0.00083665
35,400.226,0.66265,0.45788,0.9294,0.8625,0.69227,0.78175,0.52169,1.30907,1.09226,1.20695,0.0008317,0.0008317,0.0008317
36,410.917,0.65165,0.4476,0.92583,0.84604,0.72962,0.80389,0.54628,1.26964,1.04147,1.18293,0.00082675,0.00082675,0.00082675
37,421.402,0.63757,0.44596,0.92269,0.84091,0.70793,0.77056,0.52647,1.28131,1.16542,1.20375,0.0008218,0.0008218,0.0008218
38,432.013,0.6412,0.44377,0.92139,0.87038,0.68711,0.76697,0.5165,1.28796,1.15201,1.21504,0.00081685,0.00081685,0.00081685
39,442.593,0.61952,0.4309,0.91121,0.85504,0.72262,0.78391,0.52588,1.29865,1.05409,1.18916,0.0008119,0.0008119,0.0008119
40,453.203,0.62716,0.43589,0.92053,0.84699,0.6758,0.75692,0.50431,1.38282,1.17507,1.23588,0.00080695,0.00080695,0.00080695
41,463.698,0.6392,0.43827,0.91875,0.83499,0.71451,0.78524,0.53276,1.32936,1.22959,1.21621,0.000802,0.000802,0.000802
42,474.242,0.58882,0.4081,0.90423,0.84706,0.71018,0.77564,0.52102,1.29751,1.11549,1.18611,0.00079705,0.00079705,0.00079705
43,484.763,0.60101,0.4174,0.90892,0.83237,0.73605,0.79973,0.52458,1.34336,1.04691,1.22932,0.0007921,0.0007921,0.0007921
44,495.337,0.60874,0.41896,0.90949,0.83434,0.70529,0.77225,0.52717,1.30564,1.28773,1.21277,0.00078715,0.00078715,0.00078715
45,505.936,0.60209,0.41354,0.9063,0.84627,0.74434,0.80093,0.54369,1.29778,1.12316,1.20491,0.0007822,0.0007822,0.0007822
46,516.605,0.62911,0.42489,0.91046,0.83482,0.71834,0.78094,0.53159,1.26887,1.11977,1.19572,0.00077725,0.00077725,0.00077725
47,527.078,0.60389,0.41156,0.90686,0.79236,0.71524,0.76741,0.52956,1.31476,1.21655,1.22913,0.0007723,0.0007723,0.0007723
48,537.582,0.57797,0.39805,0.89728,0.83449,0.70967,0.7688,0.53109,1.27466,1.16516,1.17599,0.00076735,0.00076735,0.00076735
49,548.203,0.57643,0.3974,0.89874,0.85298,0.71555,0.78104,0.53853,1.25123,1.0993,1.18021,0.0007624,0.0007624,0.0007624
50,558.739,0.56661,0.39621,0.89434,0.85037,0.72949,0.78307,0.53414,1.26665,1.11244,1.19685,0.00075745,0.00075745,0.00075745
51,569.271,0.57822,0.39894,0.89848,0.87347,0.71646,0.79039,0.5366,1.28914,1.10529,1.21423,0.0007525,0.0007525,0.0007525
