epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32266,2.32473,4.10455,2.31918,0.00073,0.10058,0.00199,0.00044,3.32387,4.7111,3.12139,0.079105,0.000105,0.000105
2,6.1027,1.90411,3.78981,2.04617,0.00083,0.14161,0.00404,0.00129,2.58672,4.3187,2.48402,0.0572129,0.000212872,0.000212872
3,8.94807,1.86451,3.63168,2.04281,0.08417,0.15709,0.06138,0.01882,2.27982,4.15022,2.22902,0.0353186,0.000318565,0.000318565
4,12.0728,1.83107,3.53904,2.00451,0.00852,0.36655,0.02443,0.01057,2.17208,3.91867,2.10473,0.0134221,0.00042208,0.00042208
5,15.2642,1.80767,3.47426,2.0262,0.10868,0.04973,0.04907,0.03117,2.0664,3.78213,2.03362,0.0004802,0.0004802,0.0004802
6,18.5404,1.7762,3.36698,1.99021,0.15456,0.15037,0.11979,0.06624,2.07641,3.75558,2.10255,0.00047525,0.00047525,0.00047525
7,21.7063,1.79827,3.30622,2.02195,0.15188,0.19979,0.12244,0.06229,2.04834,3.90155,2.10179,0.0004703,0.0004703,0.0004703
8,24.8774,1.74531,3.22815,1.97549,0.20142,0.28852,0.20236,0.08633,2.0626,3.39899,2.07283,0.00046535,0.00046535,0.00046535
9,28.3924,1.70658,3.13668,1.97777,0.49489,0.22963,0.23645,0.1197,1.97714,3.38389,1.95648,0.0004604,0.0004604,0.0004604
10,31.3978,1.68528,3.02142,1.92627,0.32538,0.33467,0.28217,0.14592,1.99026,2.78557,1.93084,0.00045545,0.00045545,0.00045545
11,34.4393,1.67034,2.92678,1.90791,0.40072,0.28806,0.29404,0.15654,1.91798,2.70951,1.85501,0.0004505,0.0004505,0.0004505
12,37.4946,1.6193,2.87183,1.89013,0.37093,0.29394,0.27803,0.14205,1.92215,2.8429,1.89579,0.00044555,0.00044555,0.00044555
13,40.4787,1.6071,2.86605,1.861,0.41237,0.36653,0.33089,0.16237,1.89996,2.73734,1.86498,0.0004406,0.0004406,0.0004406
14,43.4614,1.60692,2.76884,1.87785,0.32244,0.4392,0.34306,0.18029,1.83586,2.89439,1.8219,0.00043565,0.00043565,0.00043565
15,46.7441,1.6258,2.77655,1.88527,0.44622,0.43922,0.40759,0.20445,1.81857,2.74734,1.79957,0.0004307,0.0004307,0.0004307
16,49.7503,1.55789,2.62665,1.84536,0.45327,0.40637,0.40961,0.2008,1.8536,2.6106,1.78502,0.00042575,0.00042575,0.00042575
17,52.7945,1.6006,2.64496,1.8769,0.41065,0.45133,0.42866,0.229,1.76709,2.37263,1.74586,0.0004208,0.0004208,0.0004208
