epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.74074,1.95299,3.74493,1.98367,0.5696,0.10972,0.05088,0.01721,2.67172,4.54817,2.44028,0.0676188,9.74359e-05,9.74359e-05
2,16.8751,1.51814,1.81576,1.60447,0.50125,0.37203,0.38925,0.1722,2.00986,2.35235,1.8124,0.0343835,0.000195481,0.000195481
3,25.1226,1.32309,1.38356,1.45857,0.63293,0.54327,0.54788,0.26669,1.81731,2.0671,1.72042,0.00114625,0.000291547,0.000291547
4,33.396,1.20307,1.15375,1.35952,0.66215,0.52428,0.6009,0.33369,1.68269,1.71381,1.67555,0.00029109,0.00029109,0.00029109
5,41.661,1.12035,1.02152,1.31518,0.6824,0.64347,0.69934,0.36163,1.77062,1.553,1.6603,0.00028812,0.00028812,0.00028812
6,50.1835,1.07473,0.93275,1.25847,0.68426,0.65096,0.66858,0.37311,1.56742,1.48439,1.53563,0.00028515,0.00028515,0.00028515
7,58.4948,0.98822,0.83447,1.21399,0.75473,0.65809,0.70305,0.4124,1.57056,1.39813,1.5483,0.00028218,0.00028218,0.00028218
8,66.7249,0.93248,0.75953,1.17753,0.74685,0.65091,0.69309,0.40879,1.60002,1.55836,1.54858,0.00027921,0.00027921,0.00027921
9,75.1244,0.93179,0.73062,1.15999,0.81647,0.6025,0.69479,0.42635,1.50253,1.53996,1.48885,0.00027624,0.00027624,0.00027624
10,83.485,0.86125,0.67981,1.13011,0.77477,0.59396,0.67399,0.40451,1.52552,1.55562,1.54094,0.00027327,0.00027327,0.00027327
11,91.7673,0.84854,0.65282,1.11886,0.79659,0.59231,0.70583,0.43009,1.48842,1.42581,1.48759,0.0002703,0.0002703,0.0002703
12,100.16,0.83069,0.61437,1.11204,0.75201,0.68193,0.73336,0.46924,1.47766,1.32423,1.49252,0.00026733,0.00026733,0.00026733
13,108.78,0.83949,0.64579,1.12179,0.72917,0.6683,0.71226,0.45513,1.39276,1.29838,1.41862,0.00026436,0.00026436,0.00026436
14,117.371,0.77235,0.59319,1.08122,0.66326,0.70096,0.67635,0.43568,1.39368,1.37462,1.43782,0.00026139,0.00026139,0.00026139
15,125.678,0.77952,0.57278,1.0855,0.73003,0.70239,0.72326,0.44977,1.4427,1.26745,1.46206,0.00025842,0.00025842,0.00025842
16,133.927,0.75657,0.56159,1.05786,0.81207,0.65398,0.72724,0.46987,1.41729,1.39975,1.42163,0.00025545,0.00025545,0.00025545
17,142.388,0.73678,0.5462,1.06514,0.75492,0.63033,0.69507,0.44889,1.40586,1.40041,1.42402,0.00025248,0.00025248,0.00025248
18,150.657,0.72583,0.53677,1.04518,0.77732,0.64249,0.71686,0.4605,1.4021,1.41696,1.42134,0.00024951,0.00024951,0.00024951
19,158.94,0.70868,0.52658,1.04146,0.78024,0.70469,0.758,0.47845,1.42384,1.30267,1.48732,0.00024654,0.00024654,0.00024654
20,167.235,0.70865,0.51517,1.04483,0.7738,0.63407,0.73209,0.47103,1.44841,1.27405,1.48822,0.00024357,0.00024357,0.00024357
21,175.538,0.68724,0.50825,1.03478,0.80228,0.60393,0.71192,0.46665,1.43873,1.52598,1.45035,0.0002406,0.0002406,0.0002406
22,183.808,0.69345,0.49239,1.02666,0.84917,0.66894,0.75224,0.50074,1.34365,1.33753,1.39377,0.00023763,0.00023763,0.00023763
23,192.138,0.67843,0.48409,1.02758,0.77947,0.71106,0.75772,0.48261,1.41637,1.45417,1.4229,0.00023466,0.00023466,0.00023466
24,200.399,0.65436,0.4705,1.01908,0.83185,0.70593,0.76114,0.46983,1.46897,1.37979,1.4551,0.00023169,0.00023169,0.00023169
