epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.05632,2.06384,4.35944,2.03637,0.69079,0.02721,0.01054,0.00359,3.17985,10.9813,3.21491,0.08006,6e-05,6e-05
2,14.6175,1.73491,2.36597,1.70784,0.15576,0.26109,0.12872,0.05174,2.31316,6.20026,2.13979,0.0591218,0.000121782,0.000121782
3,19.793,1.46241,1.76837,1.52202,0.48296,0.43884,0.41017,0.21009,1.92525,2.24692,1.70781,0.0381823,0.000182317,0.000182317
4,24.8516,1.3358,1.47134,1.41048,0.55994,0.53614,0.53578,0.28526,1.7727,1.89082,1.6062,0.0172416,0.000241605,0.000241605
5,29.792,1.18112,1.2447,1.31568,0.68657,0.48995,0.54251,0.28362,1.78843,1.847,1.59505,0.00028812,0.00028812,0.00028812
6,34.7523,1.15425,1.12055,1.27806,0.59479,0.59579,0.57874,0.29362,1.82194,1.69469,1.61932,0.00028515,0.00028515,0.00028515
7,39.7402,1.13894,1.04913,1.27383,0.72738,0.56116,0.59161,0.3015,1.80288,1.58457,1.62173,0.00028218,0.00028218,0.00028218
8,44.7665,1.06747,0.9589,1.23493,0.73639,0.57952,0.61889,0.319,1.76207,1.56877,1.58133,0.00027921,0.00027921,0.00027921
9,49.6704,1.04903,0.90021,1.21109,0.74554,0.58079,0.65314,0.37373,1.59189,1.48206,1.49958,0.00027624,0.00027624,0.00027624
10,54.6099,1.02796,0.84003,1.2016,0.80258,0.66249,0.69662,0.39126,1.59143,1.42505,1.48969,0.00027327,0.00027327,0.00027327
11,59.7374,1.04774,0.81397,1.20485,0.78506,0.64286,0.70222,0.3803,1.71839,1.42522,1.5513,0.0002703,0.0002703,0.0002703
12,65.1391,1.03472,0.7955,1.20928,0.85249,0.61553,0.73226,0.43854,1.49374,1.26241,1.42631,0.00026733,0.00026733,0.00026733
13,70.4675,0.94756,0.7667,1.15845,0.80603,0.63042,0.71406,0.37868,1.70193,1.33914,1.56646,0.00026436,0.00026436,0.00026436
14,75.8565,0.90271,0.70736,1.12499,0.78792,0.71412,0.74844,0.44522,1.50659,1.18,1.44337,0.00026139,0.00026139,0.00026139
15,81.1132,0.90752,0.68936,1.12088,0.78924,0.67368,0.71409,0.40359,1.63744,1.33744,1.49871,0.00025842,0.00025842,0.00025842
16,86.061,0.88294,0.67173,1.11624,0.802,0.68301,0.7157,0.42963,1.45262,1.279,1.37867,0.00025545,0.00025545,0.00025545
17,91.0389,0.86015,0.65168,1.1027,0.74613,0.65213,0.71652,0.45205,1.42366,1.34389,1.40064,0.00025248,0.00025248,0.00025248
18,96.2909,0.8198,0.63502,1.07458,0.81155,0.63739,0.72425,0.4473,1.48164,1.36315,1.42964,0.00024951,0.00024951,0.00024951
19,101.208,0.80976,0.62525,1.08987,0.78633,0.69125,0.73559,0.43151,1.49208,1.31953,1.41327,0.00024654,0.00024654,0.00024654
20,106.178,0.80657,0.60957,1.06304,0.87698,0.68378,0.76477,0.481,1.44139,1.18349,1.39563,0.00024357,0.00024357,0.00024357
21,111.452,0.79185,0.59564,1.08307,0.84021,0.69801,0.76299,0.47664,1.47514,1.25708,1.38717,0.0002406,0.0002406,0.0002406
22,116.379,0.77296,0.55124,1.05793,0.7884,0.70276,0.76133,0.47423,1.41175,1.19167,1.39351,0.00023763,0.00023763,0.00023763
23,121.396,0.79447,0.5839,1.07488,0.81412,0.72425,0.77722,0.46418,1.53898,1.1476,1.46244,0.00023466,0.00023466,0.00023466
24,126.304,0.75259,0.55039,1.0432,0.82626,0.69373,0.7692,0.47874,1.45671,1.18331,1.40868,0.00023169,0.00023169,0.00023169
25,131.376,0.73188,0.53799,1.04085,0.87111,0.68401,0.77079,0.48897,1.43159,1.261,1.38702,0.00022872,0.00022872,0.00022872
26,136.683,0.76246,0.56104,1.05239,0.847,0.68422,0.76168,0.47212,1.48207,1.26159,1.41048,0.00022575,0.00022575,0.00022575
27,141.593,0.73871,0.53423,1.04091,0.88948,0.61636,0.75458,0.47422,1.39095,1.27457,1.35989,0.00022278,0.00022278,0.00022278
28,146.501,0.68563,0.50441,1.02366,0.83717,0.66704,0.77025,0.47991,1.38005,1.221,1.35856,0.00021981,0.00021981,0.00021981
29,151.449,0.71247,0.52004,1.00823,0.86528,0.68638,0.78864,0.49748,1.40082,1.21066,1.36861,0.00021684,0.00021684,0.00021684
30,156.405,0.70544,0.49618,1.02624,0.88472,0.69256,0.77909,0.48582,1.43097,1.21466,1.38412,0.00021387,0.00021387,0.00021387
31,161.415,0.73637,0.52125,1.03305,0.82937,0.67679,0.75444,0.47467,1.37756,1.2289,1.36295,0.0002109,0.0002109,0.0002109
32,166.43,0.71001,0.51097,1.01864,0.8626,0.71542,0.77753,0.4767,1.44113,1.15222,1.3905,0.00020793,0.00020793,0.00020793
33,171.471,0.6977,0.49287,1.03127,0.86129,0.72817,0.78694,0.47392,1.47403,1.18614,1.40613,0.00020496,0.00020496,0.00020496
34,176.383,0.67768,0.49477,1.01179,0.8285,0.7481,0.78819,0.47089,1.48308,1.20016,1.42223,0.00020199,0.00020199,0.00020199
35,181.283,0.67105,0.47571,1.00885,0.86568,0.7142,0.78898,0.48442,1.45015,1.19291,1.39685,0.00019902,0.00019902,0.00019902
36,186.127,0.68689,0.49975,1.01382,0.8657,0.68102,0.77275,0.49969,1.35552,1.13603,1.37026,0.00019605,0.00019605,0.00019605
37,191.087,0.65657,0.45816,1.00312,0.84824,0.71623,0.77388,0.484,1.39553,1.17301,1.37668,0.00019308,0.00019308,0.00019308
38,195.926,0.66157,0.44926,0.98771,0.80503,0.70318,0.77147,0.48927,1.36918,1.1834,1.36073,0.00019011,0.00019011,0.00019011
39,200.787,0.64047,0.45002,0.98581,0.82205,0.70498,0.76093,0.47786,1.41053,1.14637,1.35783,0.00018714,0.00018714,0.00018714
40,205.792,0.68588,0.45654,1.01086,0.77866,0.63767,0.69865,0.43674,1.39596,1.2756,1.39639,0.00018417,0.00018417,0.00018417
41,210.68,0.65084,0.44709,0.99393,0.85163,0.70331,0.7612,0.48334,1.38509,1.19697,1.38582,0.0001812,0.0001812,0.0001812
42,215.658,0.64462,0.45741,0.98896,0.82868,0.69583,0.75044,0.49159,1.35995,1.19428,1.3862,0.00017823,0.00017823,0.00017823
43,220.554,0.64083,0.44122,0.99579,0.8387,0.73007,0.77226,0.46462,1.5304,1.19621,1.42799,0.00017526,0.00017526,0.00017526
44,225.445,0.63774,0.42158,0.96803,0.86416,0.73783,0.77187,0.48923,1.38381,1.12979,1.36328,0.00017229,0.00017229,0.00017229
45,230.293,0.62993,0.42841,0.96982,0.87584,0.71128,0.78316,0.46773,1.52826,1.14617,1.43536,0.00016932,0.00016932,0.00016932
46,235.162,0.62997,0.43595,0.97763,0.82068,0.70091,0.76901,0.49784,1.38636,1.16164,1.35187,0.00016635,0.00016635,0.00016635
47,240.027,0.62066,0.43353,0.98209,0.84401,0.71336,0.77477,0.51493,1.33274,1.1734,1.31857,0.00016338,0.00016338,0.00016338
48,245.091,0.59658,0.4087,0.9619,0.837,0.72355,0.77999,0.51404,1.33124,1.1646,1.31763,0.00016041,0.00016041,0.00016041
49,250.084,0.55974,0.39377,0.94595,0.90842,0.69302,0.79207,0.50823,1.36613,1.16632,1.34573,0.00015744,0.00015744,0.00015744
50,254.952,0.5649,0.38764,0.95206,0.88943,0.68656,0.79237,0.5089,1.34031,1.13578,1.34498,0.00015447,0.00015447,0.00015447
51,259.838,0.57772,0.39965,0.95297,0.85693,0.69329,0.77927,0.5076,1.3513,1.1547,1.35854,0.0001515,0.0001515,0.0001515
52,264.743,0.56558,0.40639,0.95419,0.8816,0.67482,0.78288,0.50185,1.36726,1.20579,1.38521,0.00014853,0.00014853,0.00014853
53,269.608,0.5914,0.40372,0.95905,0.83015,0.72177,0.78668,0.50457,1.37799,1.19955,1.40026,0.00014556,0.00014556,0.00014556
54,274.483,0.5406,0.38791,0.93053,0.85865,0.70609,0.77987,0.51086,1.32491,1.18292,1.37725,0.00014259,0.00014259,0.00014259
55,279.361,0.55775,0.39775,0.96115,0.90083,0.69042,0.79141,0.51709,1.32543,1.17204,1.37285,0.00013962,0.00013962,0.00013962
56,284.296,0.57049,0.39585,0.95278,0.86594,0.73481,0.80064,0.52601,1.32603,1.1928,1.35751,0.00013665,0.00013665,0.00013665
57,289.291,0.55595,0.38114,0.95541,0.81458,0.75315,0.80066,0.52952,1.32911,1.18803,1.34808,0.00013368,0.00013368,0.00013368
58,294.341,0.52353,0.3683,0.93091,0.86187,0.73785,0.79746,0.51834,1.37732,1.2134,1.36875,0.00013071,0.00013071,0.00013071
59,299.292,0.54233,0.37381,0.93848,0.83459,0.7284,0.78808,0.51836,1.32578,1.21536,1.34258,0.00012774,0.00012774,0.00012774
60,304.214,0.52553,0.36887,0.93508,0.82664,0.73144,0.78605,0.52104,1.30352,1.17489,1.35733,0.00012477,0.00012477,0.00012477
61,309.092,0.54239,0.37341,0.94675,0.83972,0.72236,0.79019,0.52652,1.30922,1.17281,1.3754,0.0001218,0.0001218,0.0001218
62,314.009,0.51123,0.35557,0.92878,0.83883,0.72473,0.79211,0.5259,1.32817,1.2181,1.36715,0.00011883,0.00011883,0.00011883
63,318.907,0.52154,0.36159,0.92883,0.88977,0.70334,0.7955,0.52629,1.31847,1.22047,1.36871,0.00011586,0.00011586,0.00011586
64,323.838,0.51383,0.35753,0.93465,0.85655,0.73709,0.79556,0.52745,1.38322,1.24605,1.40155,0.00011289,0.00011289,0.00011289
65,328.723,0.50253,0.34831,0.93183,0.87004,0.71614,0.79026,0.52982,1.37898,1.24362,1.39972,0.00010992,0.00010992,0.00010992
66,333.807,0.50895,0.3613,0.92888,0.858,0.70736,0.77003,0.51766,1.3772,1.25792,1.39723,0.00010695,0.00010695,0.00010695
67,338.789,0.481,0.34458,0.93027,0.89248,0.68851,0.77385,0.51508,1.33473,1.21112,1.36987,0.00010398,0.00010398,0.00010398
68,343.731,0.4821,0.34296,0.9182,0.87766,0.70924,0.79081,0.5153,1.36296,1.18539,1.38223,0.00010101,0.00010101,0.00010101
69,348.631,0.4854,0.3341,0.91427,0.90831,0.683,0.78997,0.52739,1.29892,1.14515,1.35322,9.804e-05,9.804e-05,9.804e-05
70,353.537,0.49242,0.34579,0.92397,0.90556,0.71408,0.80107,0.52631,1.32495,1.13503,1.35527,9.507e-05,9.507e-05,9.507e-05
71,358.453,0.488,0.34004,0.92727,0.87589,0.73556,0.80591,0.53093,1.29512,1.1187,1.34418,9.21e-05,9.21e-05,9.21e-05
72,363.496,0.46851,0.33433,0.91457,0.8576,0.71399,0.79993,0.53237,1.26909,1.10967,1.32923,8.913e-05,8.913e-05,8.913e-05
73,368.476,0.47457,0.33818,0.91495,0.80974,0.74562,0.80561,0.5338,1.29912,1.11923,1.35095,8.616e-05,8.616e-05,8.616e-05
74,373.429,0.45402,0.33009,0.91412,0.82523,0.74701,0.80731,0.52681,1.33371,1.15787,1.37371,8.319e-05,8.319e-05,8.319e-05
75,378.344,0.49634,0.3527,0.9309,0.82759,0.74163,0.79926,0.52427,1.34061,1.18809,1.38159,8.022e-05,8.022e-05,8.022e-05
76,383.271,0.45974,0.33391,0.91864,0.83286,0.73825,0.79829,0.53129,1.30804,1.1593,1.36837,7.725e-05,7.725e-05,7.725e-05
77,388.182,0.4621,0.32841,0.91582,0.82868,0.74226,0.79936,0.52611,1.34367,1.16146,1.37966,7.428e-05,7.428e-05,7.428e-05
78,393.101,0.45102,0.32621,0.90113,0.82159,0.72948,0.79376,0.52266,1.30107,1.20419,1.35904,7.131e-05,7.131e-05,7.131e-05
79,398.053,0.45895,0.33198,0.90804,0.8183,0.73069,0.79364,0.5308,1.29371,1.21958,1.35409,6.834e-05,6.834e-05,6.834e-05
80,402.983,0.45605,0.33669,0.91956,0.85625,0.73681,0.79617,0.53374,1.2998,1.16104,1.34626,6.537e-05,6.537e-05,6.537e-05
81,407.938,0.45968,0.32728,0.90611,0.84984,0.72235,0.78944,0.53735,1.28543,1.18388,1.33238,6.24e-05,6.24e-05,6.24e-05
82,412.973,0.4466,0.32313,0.90082,0.84215,0.71953,0.78658,0.53087,1.28567,1.2008,1.3285,5.943e-05,5.943e-05,5.943e-05
83,418.053,0.44279,0.31261,0.90421,0.84651,0.70227,0.78896,0.52593,1.29367,1.19455,1.33494,5.646e-05,5.646e-05,5.646e-05
84,423.133,0.43788,0.32037,0.903,0.87593,0.69169,0.79859,0.53825,1.27759,1.17091,1.34358,5.349e-05,5.349e-05,5.349e-05
85,428.246,0.447,0.316,0.90037,0.88087,0.6913,0.80842,0.54201,1.28989,1.14543,1.35114,5.052e-05,5.052e-05,5.052e-05
86,433.564,0.45273,0.31945,0.90343,0.85996,0.71765,0.81566,0.55225,1.25639,1.1134,1.34433,4.755e-05,4.755e-05,4.755e-05
87,438.813,0.44082,0.30779,0.90414,0.84149,0.72523,0.80964,0.55685,1.24245,1.12851,1.34022,4.458e-05,4.458e-05,4.458e-05
88,444.007,0.40442,0.28813,0.8836,0.8554,0.72428,0.81497,0.55724,1.25087,1.14875,1.33388,4.161e-05,4.161e-05,4.161e-05
89,449.079,0.42961,0.31167,0.90067,0.85526,0.72191,0.81086,0.55216,1.24819,1.15456,1.32959,3.864e-05,3.864e-05,3.864e-05
90,454.097,0.43032,0.30888,0.90413,0.83744,0.71869,0.80529,0.55019,1.24032,1.16991,1.32613,3.567e-05,3.567e-05,3.567e-05
91,460.199,0.36156,0.25079,0.84658,0.84413,0.71416,0.80451,0.55108,1.24629,1.15288,1.33831,3.27e-05,3.27e-05,3.27e-05
92,465.158,0.35862,0.24911,0.85238,0.8457,0.7182,0.8033,0.54993,1.25169,1.12189,1.34378,2.973e-05,2.973e-05,2.973e-05
93,470.009,0.34313,0.24095,0.8446,0.84639,0.71955,0.80332,0.55077,1.26367,1.12834,1.35022,2.676e-05,2.676e-05,2.676e-05
94,474.894,0.34154,0.24706,0.84794,0.84466,0.72913,0.80573,0.54925,1.2597,1.12115,1.35141,2.379e-05,2.379e-05,2.379e-05
95,479.798,0.33764,0.23583,0.84728,0.84878,0.7294,0.80508,0.55064,1.25073,1.11594,1.34519,2.082e-05,2.082e-05,2.082e-05
96,484.721,0.34918,0.24337,0.85862,0.84966,0.73027,0.80863,0.55344,1.24746,1.11226,1.34243,1.785e-05,1.785e-05,1.785e-05
97,489.608,0.33148,0.23598,0.84859,0.86414,0.72265,0.80902,0.55275,1.24289,1.1076,1.34054,1.488e-05,1.488e-05,1.488e-05
98,494.505,0.3251,0.23256,0.83666,0.86533,0.72161,0.80905,0.5526,1.24296,1.10833,1.34168,1.191e-05,1.191e-05,1.191e-05
99,499.422,0.337,0.236,0.84597,0.85605,0.72101,0.80841,0.55086,1.23944,1.10667,1.3378,8.94e-06,8.94e-06,8.94e-06
100,504.505,0.32781,0.23537,0.8484,0.86244,0.72202,0.80705,0.55207,1.24577,1.11427,1.34159,5.97e-06,5.97e-06,5.97e-06
