epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.24908,1.969,3.79157,1.92298,0.02404,0.21734,0.05015,0.0231,2.30364,4.14956,2.21091,0.0675789,0.000327485,0.000327485
2,11.9945,1.60446,2.38144,1.62629,0.06602,0.59706,0.14343,0.06371,2.23174,4.03553,2.16118,0.0345757,0.000657548,0.000657548
3,17.7261,1.45451,1.86805,1.52052,0.17296,0.34372,0.19993,0.07885,2.23422,4.3668,2.22101,0.00156911,0.00098431,0.00098431
4,23.692,1.37234,1.6374,1.4541,0.36507,0.33534,0.31377,0.16243,1.92578,2.57012,1.89215,0.00098515,0.00098515,0.00098515
5,29.8452,1.23495,1.38856,1.34735,0.6739,0.35103,0.41456,0.19086,2.02206,2.40087,1.9826,0.0009802,0.0009802,0.0009802
6,36.1186,1.17243,1.27133,1.31536,0.40712,0.30942,0.32413,0.15717,1.92754,2.77553,1.88307,0.00097525,0.00097525,0.00097525
7,42.2405,1.13429,1.1915,1.28617,0.61875,0.37812,0.42539,0.20377,2.06188,2.223,2.03661,0.0009703,0.0009703,0.0009703
8,48.6463,1.04387,1.04369,1.22506,0.63785,0.38117,0.47085,0.23507,1.91355,2.28566,1.80552,0.00096535,0.00096535,0.00096535
9,54.7233,1.02917,1.03091,1.22226,0.57654,0.4108,0.44083,0.22955,1.88375,2.28289,1.83669,0.0009604,0.0009604,0.0009604
10,60.8935,1.01607,1.00523,1.20416,0.66941,0.45819,0.54229,0.27665,1.7839,1.9375,1.76352,0.00095545,0.00095545,0.00095545
11,67.2264,0.9758,0.93211,1.17699,0.57605,0.54699,0.54105,0.25675,1.88848,2.03645,1.82002,0.0009505,0.0009505,0.0009505
12,73.1777,0.94652,0.88614,1.15707,0.63633,0.43013,0.49692,0.26294,1.87697,2.22679,1.8095,0.00094555,0.00094555,0.00094555
13,79.2695,0.95574,0.86697,1.15011,0.72144,0.43843,0.53635,0.27508,1.76448,1.99812,1.78618,0.0009406,0.0009406,0.0009406
14,85.5343,0.91686,0.83778,1.13894,0.70776,0.43443,0.49397,0.26607,1.83088,2.10639,1.81073,0.00093565,0.00093565,0.00093565
15,91.6542,0.89061,0.79756,1.12113,0.64562,0.52004,0.58679,0.31306,1.78214,1.94146,1.71458,0.0009307,0.0009307,0.0009307
16,97.7088,0.90102,0.79149,1.11889,0.66584,0.48036,0.54485,0.28054,1.80177,2.10148,1.74602,0.00092575,0.00092575,0.00092575
17,103.798,0.85965,0.75721,1.10293,0.62513,0.54509,0.55235,0.28794,1.75776,1.77576,1.73321,0.0009208,0.0009208,0.0009208
18,109.983,0.85075,0.75188,1.09344,0.58906,0.55495,0.57317,0.32078,1.71595,1.89506,1.69841,0.00091585,0.00091585,0.00091585
19,116.165,0.83267,0.7323,1.08513,0.63315,0.54259,0.58397,0.28854,1.90085,2.00767,1.85606,0.0009109,0.0009109,0.0009109
20,122.371,0.82786,0.72219,1.08584,0.72731,0.54348,0.61642,0.32229,1.84041,1.91096,1.82172,0.00090595,0.00090595,0.00090595
21,128.73,0.80286,0.69183,1.07114,0.6684,0.50757,0.57315,0.31613,1.75038,1.99959,1.75796,0.000901,0.000901,0.000901
22,135.077,0.79189,0.67169,1.0638,0.70613,0.5003,0.59123,0.32629,1.76454,1.963,1.74513,0.00089605,0.00089605,0.00089605
23,141.152,0.79609,0.65802,1.06952,0.68813,0.61929,0.63157,0.31068,1.79617,1.76842,1.78585,0.0008911,0.0008911,0.0008911
24,147.125,0.78991,0.65195,1.05765,0.63231,0.5884,0.62569,0.33265,1.8235,2.03554,1.80791,0.00088615,0.00088615,0.00088615
25,153.093,0.75615,0.63882,1.04925,0.75253,0.49234,0.56479,0.30821,1.75103,1.92657,1.76807,0.0008812,0.0008812,0.0008812
26,159.053,0.74824,0.63208,1.03695,0.67975,0.54616,0.62398,0.31186,1.86575,1.87335,1.83232,0.00087625,0.00087625,0.00087625
27,164.991,0.74005,0.61092,1.04588,0.6598,0.51884,0.57866,0.32039,1.71874,1.94705,1.7217,0.0008713,0.0008713,0.0008713
28,171.057,0.73396,0.60159,1.03992,0.7543,0.54362,0.6113,0.32104,1.76242,2.09961,1.76154,0.00086635,0.00086635,0.00086635
29,177.256,0.72813,0.59694,1.02716,0.78149,0.49034,0.59497,0.32405,1.73181,1.73003,1.81043,0.0008614,0.0008614,0.0008614
30,183.386,0.73866,0.59955,1.03068,0.89598,0.49952,0.63938,0.37489,1.64799,1.76792,1.65968,0.00085645,0.00085645,0.00085645
31,189.817,0.74028,0.59177,1.03122,0.8162,0.46595,0.5922,0.33891,1.69569,1.87298,1.67867,0.0008515,0.0008515,0.0008515
32,196.475,0.73474,0.58261,1.03866,0.79425,0.49476,0.59161,0.3266,1.73343,1.93721,1.70117,0.00084655,0.00084655,0.00084655
