epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,9.70906,0.44008,0.35723,0.87334,0.87037,0.72247,0.79835,0.56066,1.25163,1.16884,1.27574,0.0004654,0.0004654,0.0004654
110,18.0221,0.43559,0.32257,0.86429,0.86425,0.72896,0.78714,0.56531,1.21475,1.09619,1.2529,0.00046045,0.00046045,0.00046045
111,26.4275,0.44543,0.3129,0.86464,0.89098,0.72505,0.79355,0.56236,1.23906,1.04892,1.23746,0.0004555,0.0004555,0.0004555
112,34.84,0.43152,0.30313,0.85854,0.8625,0.7604,0.81417,0.57422,1.22729,1.02801,1.24194,0.00045055,0.00045055,0.00045055
113,43.8035,0.43217,0.29827,0.8564,0.89237,0.74337,0.822,0.5852,1.22361,1.04437,1.23044,0.0004456,0.0004456,0.0004456
114,52.8419,0.42574,0.29572,0.85513,0.87735,0.74379,0.81751,0.58133,1.24493,1.06913,1.24327,0.00044065,0.00044065,0.00044065
115,61.9836,0.42088,0.29093,0.85259,0.86152,0.7413,0.81881,0.58144,1.24023,1.03061,1.23696,0.0004357,0.0004357,0.0004357
116,71.3394,0.41678,0.2936,0.85694,0.85553,0.74521,0.82079,0.58107,1.25687,1.04507,1.24478,0.00043075,0.00043075,0.00043075
117,80.1921,0.41792,0.29111,0.85447,0.89944,0.73493,0.83294,0.59685,1.2179,1.02026,1.22478,0.0004258,0.0004258,0.0004258
118,89.2807,0.42161,0.28926,0.85498,0.89373,0.73229,0.82137,0.59787,1.18871,1.01363,1.21435,0.00042085,0.00042085,0.00042085
119,98.27,0.41249,0.28832,0.85169,0.86515,0.76375,0.82092,0.59034,1.19574,1.02374,1.2165,0.0004159,0.0004159,0.0004159
120,107.044,0.4238,0.29529,0.85629,0.8776,0.74158,0.81659,0.59708,1.17805,1.05791,1.21363,0.00041095,0.00041095,0.00041095
121,116.067,0.40763,0.28704,0.85453,0.89588,0.74581,0.82228,0.5927,1.1859,0.9888,1.20668,0.000406,0.000406,0.000406
122,125.325,0.41508,0.28763,0.85235,0.86758,0.748,0.82325,0.58327,1.21279,1.00125,1.21796,0.00040105,0.00040105,0.00040105
