epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7658,1.65445,2.39791,1.66441,0.65421,0.57492,0.5791,0.28104,1.87216,2.02683,1.59268,0.000327381,0.000327381,0.000327381
2,69.229,1.1856,1.06386,1.29698,0.62166,0.41204,0.45616,0.26388,1.74762,2.42151,1.58092,0.000657444,0.000657444,0.000657444
3,103.723,1.10014,0.88223,1.24718,0.68619,0.49707,0.57954,0.33626,1.6996,1.96267,1.6043,0.000984207,0.000984207,0.000984207
4,33.3736,1.17821,1.08202,1.41409,0.63928,0.4541,0.513,0.28877,1.80849,2.24231,1.84223,0.00098515,0.00098515,0.00098515
5,67.0229,1.01286,0.77442,1.22761,0.77873,0.58856,0.6791,0.42193,1.56086,1.52618,1.58251,0.0009802,0.0009802,0.0009802
6,101.164,0.93384,0.6791,1.17879,0.81776,0.67874,0.74439,0.44235,1.52921,1.24558,1.52888,0.00097525,0.00097525,0.00097525
7,135.621,0.92842,0.65231,1.15973,0.83631,0.68288,0.75331,0.47631,1.42847,1.21002,1.49132,0.0009703,0.0009703,0.0009703
8,169.815,0.89243,0.61196,1.1342,0.84049,0.66834,0.74358,0.48008,1.4374,1.2124,1.4639,0.00096535,0.00096535,0.00096535
9,204.065,0.88927,0.58582,1.13049,0.81136,0.6461,0.73516,0.45251,1.5415,1.32386,1.50016,0.0009604,0.0009604,0.0009604
10,238.136,0.80488,0.54075,1.08216,0.83304,0.7173,0.78697,0.50429,1.44938,1.22767,1.4582,0.00095545,0.00095545,0.00095545
11,272.294,0.77362,0.52346,1.06246,0.846,0.70321,0.79718,0.53352,1.36104,1.14619,1.40683,0.0009505,0.0009505,0.0009505
12,306.315,0.7529,0.50768,1.05485,0.85322,0.7179,0.79555,0.49569,1.50716,1.2442,1.51618,0.00094555,0.00094555,0.00094555
13,340.363,0.75869,0.50299,1.04835,0.83372,0.72293,0.78536,0.53158,1.35445,1.20095,1.35675,0.0009406,0.0009406,0.0009406
14,374.36,0.72904,0.48107,1.03315,0.85096,0.71601,0.78711,0.52589,1.39234,1.21496,1.40987,0.00093565,0.00093565,0.00093565
15,408.354,0.6962,0.46486,1.01691,0.8347,0.66704,0.74355,0.52199,1.34323,1.37413,1.39341,0.0009307,0.0009307,0.0009307
16,442.342,0.68963,0.45994,1.01227,0.87211,0.69718,0.78107,0.52703,1.3658,1.15521,1.42119,0.00092575,0.00092575,0.00092575
17,476.309,0.67018,0.44065,1.00487,0.88751,0.7161,0.79476,0.52732,1.39188,1.20198,1.41668,0.0009208,0.0009208,0.0009208
18,510.29,0.63897,0.42113,0.98791,0.83311,0.73185,0.80649,0.56668,1.26099,1.12352,1.35137,0.00091585,0.00091585,0.00091585
19,544.361,0.64092,0.41452,0.98504,0.8602,0.73147,0.80371,0.52824,1.35685,1.09636,1.39901,0.0009109,0.0009109,0.0009109
20,578.367,0.63748,0.41221,0.97959,0.81984,0.70674,0.77278,0.52648,1.32757,1.22843,1.3879,0.00090595,0.00090595,0.00090595
21,612.382,0.61944,0.40751,0.97915,0.88128,0.72722,0.81486,0.53557,1.38431,1.13021,1.4154,0.000901,0.000901,0.000901
22,646.446,0.60892,0.39972,0.97421,0.87933,0.71041,0.7993,0.56605,1.31215,1.21032,1.36916,0.00089605,0.00089605,0.00089605
23,680.664,0.59898,0.39229,0.96741,0.87033,0.7239,0.81156,0.55019,1.32339,1.14454,1.3787,0.0008911,0.0008911,0.0008911
24,714.848,0.5816,0.37904,0.95587,0.87422,0.73372,0.81718,0.58257,1.2527,1.0437,1.3507,0.00088615,0.00088615,0.00088615
25,749.172,0.57406,0.37815,0.95751,0.88454,0.74558,0.82316,0.56243,1.32442,1.11396,1.37098,0.0008812,0.0008812,0.0008812
26,783.367,0.56423,0.37102,0.94802,0.86729,0.74168,0.82685,0.58611,1.22778,1.0303,1.32611,0.00087625,0.00087625,0.00087625
27,817.744,0.54712,0.35817,0.94486,0.83603,0.72815,0.80556,0.56947,1.28782,1.25123,1.35151,0.0008713,0.0008713,0.0008713
28,852.003,0.5469,0.35578,0.93832,0.86182,0.7278,0.80683,0.58649,1.22633,1.12873,1.33318,0.00086635,0.00086635,0.00086635
29,886.241,0.55274,0.35147,0.93757,0.89519,0.70605,0.79798,0.57217,1.25872,1.22793,1.34161,0.0008614,0.0008614,0.0008614
30,920.718,0.53492,0.34334,0.93055,0.88478,0.72891,0.82421,0.58915,1.28178,1.15999,1.36081,0.00085645,0.00085645,0.00085645
31,955.105,0.52426,0.33907,0.93283,0.88373,0.69293,0.79131,0.55933,1.29769,1.19581,1.38175,0.0008515,0.0008515,0.0008515
32,989.285,0.52116,0.33977,0.92606,0.90374,0.72175,0.82563,0.56944,1.27741,1.09531,1.39453,0.00084655,0.00084655,0.00084655
33,1023.72,0.50911,0.33575,0.9194,0.87051,0.74222,0.81494,0.57681,1.25166,1.07097,1.34871,0.0008416,0.0008416,0.0008416
34,1058.15,0.53079,0.3443,0.93467,0.89643,0.69634,0.79127,0.56191,1.26387,1.17711,1.33838,0.00083665,0.00083665,0.00083665
35,1092.51,0.5048,0.33369,0.9218,0.85527,0.7488,0.81769,0.57644,1.26478,1.0661,1.3605,0.0008317,0.0008317,0.0008317
36,1126.87,0.51451,0.33483,0.92403,0.87201,0.75917,0.841,0.59795,1.25781,1.04214,1.3575,0.00082675,0.00082675,0.00082675
