epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0871,1.88149,3.37666,1.73782,0.62158,0.50568,0.54504,0.27511,1.76637,2.18621,1.39716,0.000327381,0.000327381,0.000327381
2,37.5019,1.28908,1.25887,1.2755,0.68155,0.54369,0.59916,0.30093,1.77288,1.75057,1.44849,0.000657444,0.000657444,0.000657444
3,54.0326,1.16232,0.95133,1.18896,0.76167,0.60906,0.67576,0.34379,1.79398,1.73595,1.42832,0.000984207,0.000984207,0.000984207
4,70.4143,1.06477,0.81776,1.13446,0.75189,0.58455,0.66455,0.40652,1.50813,1.67318,1.34924,0.00098515,0.00098515,0.00098515
5,86.8486,0.98861,0.72691,1.10211,0.78133,0.62846,0.72011,0.45153,1.42631,1.35323,1.29819,0.0009802,0.0009802,0.0009802
6,103.232,0.92298,0.66664,1.06353,0.78035,0.63914,0.72006,0.45152,1.44042,1.38509,1.29963,0.00097525,0.00097525,0.00097525
7,119.54,0.87926,0.62747,1.04243,0.77618,0.69227,0.74659,0.46164,1.47198,1.38262,1.34202,0.0009703,0.0009703,0.0009703
8,135.939,0.86434,0.60099,1.03194,0.83358,0.70374,0.77106,0.49597,1.39455,1.21875,1.26774,0.00096535,0.00096535,0.00096535
9,152.334,0.81841,0.56612,1.01357,0.84578,0.70605,0.77949,0.47774,1.42341,1.14836,1.29217,0.0009604,0.0009604,0.0009604
10,168.693,0.79855,0.54409,0.99614,0.82273,0.71544,0.78734,0.49676,1.42179,1.19484,1.27856,0.00095545,0.00095545,0.00095545
11,185.044,0.79532,0.53077,0.99773,0.83929,0.70088,0.77677,0.50613,1.36269,1.16996,1.26985,0.0009505,0.0009505,0.0009505
12,201.403,0.74312,0.50436,0.97959,0.83568,0.67097,0.7614,0.49575,1.41977,1.29369,1.28341,0.00094555,0.00094555,0.00094555
13,217.758,0.77081,0.50683,0.9864,0.8349,0.68397,0.75396,0.49376,1.38502,1.26919,1.28263,0.0009406,0.0009406,0.0009406
14,234.06,0.73735,0.48852,0.9727,0.86932,0.73136,0.8202,0.55044,1.32409,1.0735,1.24195,0.00093565,0.00093565,0.00093565
15,250.421,0.72377,0.4769,0.96826,0.88709,0.72059,0.80097,0.53364,1.29744,1.13887,1.2335,0.0009307,0.0009307,0.0009307
16,266.785,0.6788,0.45343,0.95005,0.86257,0.72979,0.79596,0.53834,1.29443,1.13934,1.22893,0.00092575,0.00092575,0.00092575
17,283.123,0.69676,0.45799,0.95129,0.85323,0.74086,0.82154,0.54158,1.31685,1.05973,1.24655,0.0009208,0.0009208,0.0009208
18,299.875,0.66267,0.44075,0.94412,0.81459,0.71761,0.78727,0.54126,1.30128,1.15153,1.2317,0.00091585,0.00091585,0.00091585
